% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.494000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
13 0 +1.942318848e+04 +1.947126848e+04 +1.947126848e+04 -3.1498e-01 +3.6348e-01 -5.0000e+00
23 0 +1.479925326e+04 +1.484733326e+04 +1.484733326e+04 +2.3670e+00 -5.0000e+00 -1.6661e+00
24 0 +7.885566103e+01 +1.269356610e+02 +1.269356610e+02 +2.9956e+00 -2.1614e+00 -2.3054e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.058000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.146135405e+06 +2.146165985e+06 +2.146165985e+06 +6.8954e-01 +1.0631e+00 +4.7915e+00
2 0 +4.608624756e+05 +4.608930556e+05 +4.608930556e+05 +2.3357e+00 -3.8375e-01 +4.3714e+00
5 0 +1.027989870e+05 +1.028295670e+05 +1.028295670e+05 -3.6503e+00 -1.8412e+00 -3.5215e+00
9 0 +9.663354182e+04 +9.666412182e+04 +9.666412182e+04 +3.0229e+00 +1.4262e+00 +3.4913e+00
23 0 +3.230977265e+04 +3.234035265e+04 +3.234035265e+04 +5.0000e+00 +5.0000e+00 -5.0000e+00
25 0 +2.104122322e+04 +2.107180322e+04 +2.107180322e+04 -2.0706e+00 -4.4085e-01 -5.0000e+00
26 0 +4.246601756e+03 +4.277181756e+03 +4.277181756e+03 -6.9916e-01 -3.2187e-02 -2.9021e+00
30 0 +2.149558769e+02 +2.455358769e+02 +2.455358769e+02 -2.3272e+00 -1.3838e+00 -2.7332e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.117205188e+06 +4.118205188e+06 +4.118205188e+06 +4.9160e+00 +3.1733e-01 -2.3308e+00
6 0 +6.366777139e+04 +6.466777139e+04 +6.466777139e+04 +4.8267e+00 +4.0790e+00 -3.7249e+00
9 0 +1.833316472e+04 +1.933316472e+04 +1.933316472e+04 -1.2719e+00 +5.0000e+00 -5.0000e+00
14 0 +1.082053331e+04 +1.182053331e+04 +1.182053331e+04 +1.0347e-01 -5.8727e-01 +1.7853e+00
20 0 +2.175513761e+03 +3.175513761e+03 +3.175513761e+03 -2.9750e+00 +3.0415e+00 -2.5295e+00
32 0 +5.423167524e+02 +1.542316752e+03 +1.542316752e+03 -4.2496e-01 -2.5859e+00 +3.9135e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.236000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.572949440e+07 +1.572945204e+07 +1.572945204e+07 +2.1201e+00 -4.8108e+00 +5.6778e-02
2 0 +1.899297357e+06 +1.899254997e+06 +1.899254997e+06 -4.3527e+00 -2.0577e+00 -1.9505e+00
3 0 +3.699852704e+05 +3.699429104e+05 +3.699429104e+05 -9.0145e-02 +4.2327e+00 -2.7699e+00
23 0 +2.344265357e+04 +2.340029357e+04 +2.340029357e+04 +2.5738e+00 +2.0151e+00 +2.9025e+00
24 0 +1.088167371e+04 +1.083931371e+04 +1.083931371e+04 +4.4939e+00 +2.5242e+00 +5.0000e+00
25 0 +6.867660475e+03 +6.825300475e+03 +6.825300475e+03 +2.3505e-01 +6.5802e-01 +1.9718e-01
26 0 +1.367925365e+02 +9.443253655e+01 +9.443253655e+01 +1.0080e+00 -7.5009e-01 +2.7417e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-7.187000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.763735772e+06 +2.763663902e+06 +2.763663902e+06 -4.4845e+00 +4.8107e+00 +2.3762e+00
2 0 +4.452714707e+04 +4.445527707e+04 +4.445527707e+04 +4.5995e+00 +1.7210e+00 +3.8444e+00
18 0 +3.003418477e+04 +2.996231477e+04 +2.996231477e+04 -2.6801e-01 +4.8383e-01 -5.0000e+00
21 0 +1.925060519e+04 +1.917873519e+04 +1.917873519e+04 -5.0000e+00 +2.0185e+00 -2.3161e+00
22 0 +1.915254518e+03 +1.843384518e+03 +1.843384518e+03 +2.6046e-01 +1.2397e+00 -1.0437e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.650000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.449096438e+07 +3.449094788e+07 +3.449094788e+07 +9.5899e-01 +8.4508e-01 -2.6499e+00
2 0 +2.514848320e+07 +2.514846670e+07 +2.514846670e+07 -3.7245e+00 -1.9439e+00 +1.6969e+00
3 0 +1.517936142e+05 +1.517771142e+05 +1.517771142e+05 +1.8298e+00 +1.5699e-01 +4.9707e+00
14 0 +6.540998082e+04 +6.539348082e+04 +6.539348082e+04 +2.3340e+00 +3.2280e+00 +5.0000e+00
18 0 +2.572816531e+04 +2.571166531e+04 +2.571166531e+04 +2.6139e+00 +5.0000e+00 +5.0000e+00
19 0 +4.780089098e+03 +4.763589098e+03 +4.763589098e+03 +7.0296e-01 -1.1546e+00 +5.0000e+00
23 0 +2.712434020e+03 +2.695934020e+03 +2.695934020e+03 +1.0397e+00 +1.9760e-01 +5.0000e+00
26 0 +1.157464523e+03 +1.140964523e+03 +1.140964523e+03 +1.6601e+00 +2.4149e+00 +5.0000e+00
27 0 +5.787756692e+02 +5.622756692e+02 +5.622756692e+02 +1.2989e+00 +7.7570e-01 +5.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.978220526e+07 +2.978320526e+07 +2.978320526e+07 -3.3141e+00 +2.9221e+00 +6.2640e-01
2 0 +1.568498608e+07 +1.568598608e+07 +1.568598608e+07 -4.3709e+00 +2.6407e+00 -2.3227e+00
3 0 +8.060111463e+05 +8.070111463e+05 +8.070111463e+05 -1.9180e-01 +1.6583e+00 -3.6974e+00
5 0 +3.402447383e+05 +3.412447383e+05 +3.412447383e+05 -4.7427e+00 -3.4338e+00 -3.1881e+00
6 0 +5.205433821e+04 +5.305433821e+04 +5.305433821e+04 +2.2320e+00 +8.6124e-01 -2.6818e+00
19 0 +1.899617164e+04 +1.999617164e+04 +1.999617164e+04 -1.9803e+00 -5.0000e+00 +4.5710e-01
27 0 +2.048197515e+03 +3.048197515e+03 +3.048197515e+03 +2.2778e-01 -1.4203e+00 -1.7121e+00
30 0 +1.131576253e+03 +2.131576253e+03 +2.131576253e+03 -2.9579e-01 -1.0262e-01 -3.4109e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.327180471e+08 +1.327170471e+08 +1.327170471e+08 +4.1477e+00 +3.8155e+00 +4.3097e+00
2 0 +2.143786224e+07 +2.143686224e+07 +2.143686224e+07 -1.3541e+00 +1.7196e+00 -6.2895e-01
3 0 +1.183446059e+07 +1.183346059e+07 +1.183346059e+07 -2.2310e+00 -4.3742e-01 +2.1864e+00
4 0 +8.843612005e+06 +8.842612005e+06 +8.842612005e+06 -3.5169e+00 -1.6606e-01 +2.2196e+00
5 0 +5.653651476e+06 +5.652651476e+06 +5.652651476e+06 +1.8469e+00 -1.6660e+00 -4.0323e+00
7 0 +5.179734967e+05 +5.169734967e+05 +5.169734967e+05 -5.0000e+00 -5.0000e+00 +5.0000e+00
9 0 +2.102363873e+03 +1.102363873e+03 +1.102363873e+03 -2.6237e-01 -5.0000e+00 -3.0209e-01
28 0 +7.271297266e+02 -2.728702734e+02 -2.728702734e+02 -1.4253e+00 -2.5489e+00 -4.2730e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.527400000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.175383887e+06 +9.175231147e+06 +9.175231147e+06 -5.5901e-01 -4.1178e+00 +4.7444e+00
2 0 +5.849607187e+05 +5.848079787e+05 +5.848079787e+05 +3.2604e+00 -2.6291e+00 +4.9850e+00
4 0 +2.639826786e+05 +2.638299386e+05 +2.638299386e+05 -3.2415e+00 +4.7064e+00 -4.3767e+00
8 0 +3.570028151e+04 +3.554754151e+04 +3.554754151e+04 +5.0000e+00 -5.0343e-01 +5.0000e+00
18 0 +2.271503931e+04 +2.256229931e+04 +2.256229931e+04 +5.0000e+00 +1.6486e+00 +5.0000e+00
21 0 +1.659925711e+04 +1.644651711e+04 +1.644651711e+04 -4.2059e-01 -5.0041e-01 +2.1790e-02
25 0 +7.080737904e+03 +6.927997904e+03 +6.927997904e+03 +2.4945e+00 +1.7850e+00 +2.2806e+00
26 0 +2.118018584e+02 +5.906185838e+01 +5.906185838e+01 -7.7319e-01 +2.6057e+00 -9.1166e-01
